tick,hour_of_week,tick_Wh,sleep_nodes,alive_capacity_fraction
286,23,1789.5001006395644,0,1.0
287,23,1789.1081856237615,0,1.0
288,24,789.5182131164121,58,0.4247448979591837
289,24,568.3083333333333,71,0.25552721088435376
290,24,501.64166666666665,75,0.19685374149659865
291,24,501.64166666666665,75,0.19685374149659865
292,24,501.64166666666665,75,0.19685374149659865
293,24,1034.975,43,0.4417517006802721
294,24,1051.6416666666667,42,0.44260204081632654
295,24,1051.6416666666667,42,0.44260204081632654
296,24,1051.6416666666667,42,0.44260204081632654
297,24,1051.6416666666667,42,0.44260204081632654
298,24,1051.6416666666667,42,0.44260204081632654
299,24,1051.6416666666667,42,0.44260204081632654
300,25,1051.6416666666667,42,0.44260204081632654
301,25,1051.6416666666667,42,0.44260204081632654
302,25,1051.6416666666667,42,0.44260204081632654
303,25,1051.6416666666667,42,0.44260204081632654
304,25,1051.6416666666667,42,0.44260204081632654
305,25,1051.6416666666667,42,0.44260204081632654
306,25,1051.6416666666667,42,0.44260204081632654
307,25,1051.6416666666667,42,0.44260204081632654
308,25,1051.6416666666667,42,0.44260204081632654
309,25,1051.6416666666667,42,0.44260204081632654
310,25,1051.6416666666667,42,0.44260204081632654
311,25,1051.6416666666667,42,0.44260204081632654
312,26,1051.6416666666667,42,0.44260204081632654
313,26,1051.6416666666667,42,0.44260204081632654
314,26,1051.6416666666667,42,0.44260204081632654
315,26,1051.6416666666667,42,0.44260204081632654
316,26,1051.6416666666667,42,0.44260204081632654
317,26,1051.6416666666667,42,0.44260204081632654
318,26,1051.6416666666667,42,0.44260204081632654
319,26,1051.6416666666667,42,0.44260204081632654
320,26,1051.6416666666667,42,0.44260204081632654
321,26,1051.6416666666667,42,0.44260204081632654
322,26,1051.6416666666667,42,0.44260204081632654
323,26,1051.6416666666667,42,0.44260204081632654
324,27,1051.6416666666667,42,0.44260204081632654
325,27,1051.6416666666667,42,0.44260204081632654
326,27,1051.6416666666667,42,0.44260204081632654
327,27,1051.6416666666667,42,0.44260204081632654
328,27,1051.6416666666667,42,0.44260204081632654
329,27,1051.6416666666667,42,0.44260204081632654
330,27,1051.6416666666667,42,0.44260204081632654
331,27,1051.6416666666667,42,0.44260204081632654
332,27,1051.6416666666667,42,0.44260204081632654
333,27,1051.6416666666667,42,0.44260204081632654
334,27,1051.6416666666667,42,0.44260204081632654
335,27,1051.6416666666667,42,0.44260204081632654
336,28,1051.6416666666667,42,0.44260204081632654
337,28,1051.6416666666667,42,0.44260204081632654
338,28,1051.6416666666667,42,0.44260204081632654
339,28,1051.6416666666667,42,0.44260204081632654
340,28,1051.6416666666667,42,0.44260204081632654
341,28,1051.6416666666667,42,0.44260204081632654
342,28,1051.6416666666667,42,0.44260204081632654
343,28,1051.6416666666667,42,0.44260204081632654
344,28,1051.6416666666667,42,0.44260204081632654
345,28,1051.6416666666667,42,0.44260204081632654
346,28,1051.6416666666667,42,0.44260204081632654
347,28,1051.6416666666667,42,0.44260204081632654
348,29,1051.6416666666667,42,0.44260204081632654
349,29,1051.6416666666667,42,0.44260204081632654
350,29,1051.6416666666667,42,0.44260204081632654
351,29,1051.6416666666667,42,0.44260204081632654
352,29,1051.6416666666667,42,0.44260204081632654
353,29,1051.6416666666667,42,0.44260204081632654
354,29,1051.6416666666667,42,0.44260204081632654
355,29,1051.6416666666667,42,0.44260204081632654
356,29,1051.6416666666667,42,0.44260204081632654
357,29,1051.6416666666667,42,0.44260204081632654
358,29,1051.6416666666667,42,0.44260204081632654
359,29,1051.6416666666667,42,0.44260204081632654
360,30,1051.6416666666667,42,0.44260204081632654
361,30,1051.6416666666667,42,0.44260204081632654
362,30,1051.6416666666667,42,0.44260204081632654
363,30,1051.6416666666667,42,0.44260204081632654
364,30,1051.6416666666667,42,0.44260204081632654
365,30,1051.6416666666667,42,0.44260204081632654
366,30,1051.6416666666667,42,0.44260204081632654
367,30,1051.6416666666667,42,0.44260204081632654
368,30,1051.6416666666667,42,0.44260204081632654
369,30,1051.6416666666667,42,0.44260204081632654
370,30,1051.6416666666667,42,0.44260204081632654
371,30,1051.6416666666667,42,0.44260204081632654
372,31,1767.022773385884,0,1.0
373,31,1766.956029676995,0,1.0
374,31,1766.8130273693853,0,1.0
375,31,1786.4323608789377,0,1.0
376,31,1786.670650216522,0,1.0
377,31,1786.6352553811375,0,1.0
378,31,1786.7939233041266,0,1.0
379,31,1786.6170886908026,0,1.0
380,31,1786.6081606643183,0,1.0
381,31,1786.8291258112286,0,1.0
382,31,1786.2042177668436,0,1.0
383,31,1786.7876854270207,0,1.0
384,32,1788.6218082244804,0,1.0
385,32,1786.4751355905548,0,1.0
386,32,1786.281729044466,0,1.0
387,32,1787.2881242653607,0,1.0
388,32,1786.9219217213304,0,1.0
389,32,1786.6759513346954,0,1.0
390,32,1786.468496690733,0,1.0
391,32,1786.349030629719,0,1.0
392,32,1786.4292788525368,0,1.0
393,32,1786.277907422419,0,1.0
394,32,1787.3905486593842,0,1.0
395,32,1786.2842320714064,0,1.0
396,33,1786.9672470048147,0,1.0
397,33,1786.4317098969464,0,1.0
398,33,1786.3621370059975,0,1.0
399,33,1786.9236113097388,0,1.0
400,33,1786.6913386180097,0,1.0
401,33,1786.2199946527694,0,1.0
402,33,1786.9796287730792,0,1.0
403,33,1787.586019905679,0,1.0
404,33,1786.7860938594895,0,1.0
405,33,1787.1938232096481,0,1.0
406,33,1787.1776357350675,0,1.0
407,33,1786.6595264093714,0,1.0
408,34,1786.8552084137004,0,1.0
409,34,1788.1136284016868,0,1.0
410,34,1786.8534889561283,0,1.0
411,34,1786.9644789508916,0,1.0
412,34,1786.7691144643286,0,1.0
413,34,1787.0322081199574,0,1.0
414,34,1786.9027872402476,0,1.0
415,34,1791.9368620008195,0,1.0
416,34,1786.4848464445543,0,1.0
417,34,1787.194035732503,0,1.0
418,34,1786.7603558827186,0,1.0
419,34,1786.515178777998,0,1.0
420,35,1786.7856457525652,0,1.0
421,35,1787.0204724441428,0,1.0
422,35,1787.7507418198015,0,1.0
423,35,1786.8384824594145,0,1.0
424,35,1787.5463795309936,0,1.0
425,35,1787.6519075267693,0,1.0
426,35,1786.9635450900842,0,1.0
427,35,1787.0827130706161,0,1.0
428,35,1787.4661976744965,0,1.0
429,35,1787.3294457999455,0,1.0
430,35,1787.3325741100734,0,1.0
431,35,1786.869984121676,0,1.0
432,36,1786.9035726570773,0,1.0
433,36,1786.9183202817242,0,1.0
434,36,1787.4564457920342,0,1.0
435,36,1787.5038380411247,0,1.0
436,36,1787.5064106036612,0,1.0
437,36,1788.0063308061426,0,1.0
438,36,1787.7005656821761,0,1.0
439,36,1787.6181262214986,0,1.0
440,36,1788.1735584233352,0,1.0
441,36,1787.1151602546884,0,1.0
442,36,1787.7321702828242,0,1.0
443,36,1786.9291353494223,0,1.0
444,37,1787.3999134257558,0,1.0
445,37,1787.738153245295,0,1.0
446,37,1786.9816480409402,0,1.0
447,37,1789.0794752263323,0,1.0
448,37,1787.4077417229703,0,1.0
449,37,1787.2170095378024,0,1.0
450,37,1786.9642804745627,0,1.0
451,37,1787.1181026885115,0,1.0
452,37,1787.4748431023995,0,1.0
453,37,1787.2696642694957,0,1.0
454,37,1787.484522983863,0,1.0
455,37,1786.9169157621418,0,1.0
456,38,1787.1326656481126,0,1.0
457,38,1787.2934907632382,0,1.0
458,38,1787.2263955351648,0,1.0
459,38,1786.828933526773,0,1.0
460,38,1789.4501074366692,0,1.0
461,38,1787.0931427984015,0,1.0
462,38,1786.9475720404066,0,1.0
463,38,1788.2805525114159,0,1.0
464,38,1787.6225063091426,0,1.0
465,38,1788.9105837607951,0,1.0
466,38,1790.3957122393624,0,1.0
467,38,1786.485507578509,0,1.0
468,39,1786.5243175862008,0,1.0
469,39,1786.8498617860844,0,1.0
470,39,1787.0724401858456,0,1.0
471,39,1787.068892985014,0,1.0
472,39,1786.6308417389373,0,1.0
473,39,1786.9048670760951,0,1.0
474,39,1786.8935252466772,0,1.0
475,39,1786.8356911994917,0,1.0
476,39,1786.9364021697888,0,1.0
477,39,1787.2132616815848,0,1.0
478,39,1786.7189061215051,0,1.0
479,39,1787.2771336962714,0,1.0
480,40,1786.938353819486,0,1.0
481,40,1787.8207889925025,0,1.0
482,40,1786.9937787563424,0,1.0
483,40,1787.2243405691554,0,1.0
484,40,1787.7962016957601,0,1.0
485,40,1788.2722782944966,0,1.0
486,40,1786.9247465455974,0,1.0
487,40,1786.787699524562,0,1.0
488,40,1786.5186124240367,0,1.0
489,40,1787.3304092090566,0,1.0
490,40,1786.706174069231,0,1.0
491,40,1786.764728996733,0,1.0
492,41,1788.3529158707852,0,1.0
493,41,1788.4596226790522,0,1.0
494,41,1787.2030617139708,0,1.0
495,41,1788.012667386493,0,1.0
496,41,1787.1884480849199,0,1.0
497,41,1787.1554112453427,0,1.0
498,41,1787.6300056231769,0,1.0
499,41,1787.5134926948558,0,1.0
500,41,1787.092645535362,0,1.0
501,41,1786.8654808845413,0,1.0
502,41,1787.833561932742,0,1.0
503,41,1786.8325401433171,0,1.0
504,42,1788.7500029625182,0,1.0
505,42,1787.7323998345305,0,1.0
506,42,1788.939856632844,0,1.0
507,42,1788.9713254035196,0,1.0
508,42,1787.7865538132364,0,1.0
509,42,1789.239934308051,0,1.0
510,42,1788.7982820522634,0,1.0
511,42,1787.6315280073609,0,1.0
512,42,1788.2115191310297,0,1.0
513,42,1788.7144977603677,0,1.0
514,42,1787.838959687306,0,1.0
515,42,1787.507013969575,0,1.0
516,43,1788.3385054194127,0,1.0
517,43,1787.7361075444423,0,1.0
518,43,1788.1858103640398,0,1.0
519,43,1788.2856530899949,0,1.0
520,43,1788.5552875521446,0,1.0
521,43,1789.56069298175,0,1.0
522,43,1788.2347316905566,0,1.0
523,43,1788.8889441921694,0,1.0
524,43,1788.108585637759,0,1.0
525,43,1795.4669252533945,0,1.0
526,43,1787.9629231828478,0,1.0
527,43,1788.690673947812,0,1.0
528,44,1788.4155811299797,0,1.0
529,44,1788.3280169622287,0,1.0
530,44,1790.0377085262899,0,1.0
531,44,1789.5296167114777,0,1.0
532,44,1789.6745175136132,0,1.0
533,44,1789.1015684009071,0,1.0
534,44,1788.7190441268658,0,1.0
535,44,1788.5124397995542,0,1.0
536,44,1789.2368369261121,0,1.0
537,44,1788.6369887459616,0,1.0
538,44,1788.5029602874647,0,1.0
539,44,1788.2702938358273,0,1.0
540,45,1789.9790527757755,0,1.0
541,45,1789.1486656830596,0,1.0
542,45,1788.5902997480575,0,1.0
543,45,1788.9834396763274,0,1.0
544,45,1789.142540393253,0,1.0
545,45,1790.9616427757294,0,1.0
546,45,1788.9096036497308,0,1.0
547,45,1788.7617156747983,0,1.0
548,45,1788.4826307703484,0,1.0
549,45,1789.8369319789956,0,1.0
550,45,1788.726087292568,0,1.0
551,45,1790.056397483344,0,1.0
552,46,1789.1963525383521,0,1.0
553,46,1789.1961844907105,0,1.0
554,46,1788.7167804069325,0,1.0
555,46,1789.153795484108,0,1.0
556,46,1789.888552298999,0,1.0
557,46,1788.577593241133,0,1.0
558,46,1788.9692817190844,0,1.0
559,46,1789.0499691587495,0,1.0
560,46,1788.8180438717932,0,1.0
561,46,1788.9309568970216,0,1.0
562,46,1788.763815717979,0,1.0
563,46,1790.0174372035765,0,1.0
564,47,1789.8223626806166,0,1.0
565,47,1789.0661939304064,0,1.0
566,47,1788.7848520114521,0,1.0
567,47,1789.086918580576,0,1.0
568,47,1789.6565085022842,0,1.0
569,47,1789.507351479528,0,1.0
570,47,1788.9116522850459,0,1.0
571,47,1789.585793716859,0,1.0
572,47,1788.7042281644156,0,1.0
573,47,1788.817321734955,0,1.0
574,47,1788.625549451745,0,1.0
575,47,1788.198190387152,0,1.0
576,48,823.3690377385426,56,0.383078231292517
577,48,618.4666666666667,68,0.21045918367346939
578,48,534.9749999999999,73,0.1798469387755102
579,48,534.9749999999999,73,0.1798469387755102
580,48,534.9749999999999,73,0.1798469387755102
581,48,1034.975,43,0.4409013605442177
582,48,1051.6416666666667,42,0.44260204081632654
583,48,1051.6416666666667,42,0.44260204081632654
584,48,1051.6416666666667,42,0.44260204081632654
585,48,1051.6416666666667,42,0.44260204081632654
586,48,1051.6416666666667,42,0.44260204081632654
587,48,1051.6416666666667,42,0.44260204081632654
588,49,1051.6416666666667,42,0.44260204081632654
589,49,1051.6416666666667,42,0.44260204081632654
590,49,1051.6416666666667,42,0.44260204081632654
591,49,1051.6416666666667,42,0.44260204081632654
592,49,1051.6416666666667,42,0.44260204081632654
593,49,1051.6416666666667,42,0.44260204081632654
594,49,1051.6416666666667,42,0.44260204081632654
595,49,1051.6416666666667,42,0.44260204081632654
596,49,1051.6416666666667,42,0.44260204081632654
597,49,1051.6416666666667,42,0.44260204081632654
598,49,1051.6416666666667,42,0.44260204081632654
599,49,1051.6416666666667,42,0.44260204081632654
600,50,1051.6416666666667,42,0.44260204081632654
601,50,1051.6416666666667,42,0.44260204081632654
602,50,1051.6416666666667,42,0.44260204081632654
603,50,1051.6416666666667,42,0.44260204081632654
604,50,1051.6416666666667,42,0.44260204081632654
605,50,1051.6416666666667,42,0.44260204081632654
606,50,1051.6416666666667,42,0.44260204081632654
607,50,1051.6416666666667,42,0.44260204081632654
608,50,1051.6416666666667,42,0.44260204081632654
609,50,1051.6416666666667,42,0.44260204081632654
610,50,1051.6416666666667,42,0.44260204081632654
611,50,1051.6416666666667,42,0.44260204081632654
612,51,1051.6416666666667,42,0.44260204081632654
613,51,1051.6416666666667,42,0.44260204081632654
614,51,1051.6416666666667,42,0.44260204081632654
615,51,1051.6416666666667,42,0.44260204081632654
616,51,1051.6416666666667,42,0.44260204081632654
617,51,1051.6416666666667,42,0.44260204081632654
618,51,1051.6416666666667,42,0.44260204081632654
619,51,1051.6416666666667,42,0.44260204081632654
620,51,1051.6416666666667,42,0.44260204081632654
621,51,1051.6416666666667,42,0.44260204081632654
622,51,1051.6416666666667,42,0.44260204081632654
623,51,1051.6416666666667,42,0.44260204081632654
624,52,1051.6416666666667,42,0.44260204081632654
625,52,1051.6416666666667,42,0.44260204081632654
626,52,1051.6416666666667,42,0.44260204081632654
627,52,1051.6416666666667,42,0.44260204081632654
628,52,1051.6416666666667,42,0.44260204081632654
629,52,1051.6416666666667,42,0.44260204081632654
630,52,1051.6416666666667,42,0.44260204081632654
631,52,1051.6416666666667,42,0.44260204081632654
632,52,1051.6416666666667,42,0.44260204081632654
633,52,1051.6416666666667,42,0.44260204081632654
634,52,1051.6416666666667,42,0.44260204081632654
635,52,1051.6416666666667,42,0.44260204081632654
636,53,1051.6416666666667,42,0.44260204081632654
637,53,1051.6416666666667,42,0.44260204081632654
638,53,1051.6416666666667,42,0.44260204081632654
639,53,1051.6416666666667,42,0.44260204081632654
640,53,1051.6416666666667,42,0.44260204081632654
641,53,1051.6416666666667,42,0.44260204081632654
642,53,1051.6416666666667,42,0.44260204081632654
643,53,1051.6416666666667,42,0.44260204081632654
644,53,1051.6416666666667,42,0.44260204081632654
645,53,1051.6416666666667,42,0.44260204081632654
646,53,1051.6416666666667,42,0.44260204081632654
647,53,1051.6416666666667,42,0.44260204081632654
648,54,1051.6416666666667,42,0.44260204081632654
649,54,1051.6416666666667,42,0.44260204081632654
650,54,1051.6416666666667,42,0.44260204081632654
651,54,1051.6416666666667,42,0.44260204081632654
652,54,1051.6416666666667,42,0.44260204081632654
653,54,1051.6416666666667,42,0.44260204081632654
654,54,1051.6416666666667,42,0.44260204081632654
